Title: N/A
Volume:  017
Issue:  2
Date:  20 July 2023
Abstract:  
				Lillian-Yvonne Bertram's 2019 book of poetry is titled Travesty Generator in reference to Hugh Kenner and Joseph
					O'Rourke's Pascal program to fabricate
						pseudo-text by producing text such that each n-length string
					of characters in the output occurs at the same frequency as in the source
					text. Whereas for Kenner and O'Rourke, labeling their work a
						travesty is a hyperbolic tease or a literary
					burlesque, for Bertram, the travesty is the political reality of racism in
					America. For each of the works Travesty
						Generator, Bertram uses the generators of computer poetry to
					critique, resist, and replace narratives of oppression and to make explicit
					and specific what is elsewhere algorithmically insidious and
					ambivalent.

				In Counternarratives, Bertram presents
					sentences, fragments, and ellipses that begin ambiguously but gradually
					resolve point clearly to the moment of Trayvon Martin's killing. The poem
					that opens the book, three_last_words, is at a
					functional level a near-echo of the program in Nick Montfort's I AM THAT I AM, which is itself a version or
					adaptation of Brion Gysin's permutation poem of the same title. But
					Bertram’s poem has one important functional difference in that Bertram's
					version retains and concatenates the entire working result. With this
					modification, the memory required to produce all permutations of the
					phrase, I can’t breathe, is sufficiently
					greater than the storage available most computers, so the poem will end in
					a crashed runtime or a frozen computer--metaphorically reenacting and
					memorializing Eric Garner’s death. Lillian-Yvonne Bertram's Travesty Generator is a challenging, haunting,
					and important achievement of computational literature, and in this essay, I
					expand my reading of this book to dig more broadly and deeply into how
					specific poems work to better appreciate the collection's contribution to
					the field of digital poetry.
			
Full Body Text: 

				
				
					
A NATION OF SPECIFIC CHAINS 
		ON SHIPS CROSSING AN OCEAN
	SUMMONING 
		  ANY MEANS NECESSARY 
TO REFUSE ERASURE BY ALGORITHM 
A NATION OF REGULATED FRAY 
		RIOTING
	DIGGING UP 
		  ANY MEANS NECESSARY 
TO REFUSE ERASURE BY ALGORITHM 
A NATION OF OLD DISPOSSESSIONS 
		IN THE SHIP’S HOLD 
	UNEARTHING 
		  ANY MEANS NECESSARY 
TO REFUSE ERASURE BY ALGORITHM
					
				

				 The passage quoted here is from Lillian-Yvonne Bertram’s poem, A NEW SERMON ON THE WARPLAND, which is included
					in their 2019 collection, Travesty Generator.
					All told, the poem includes 26 of these cinquains, and because the poem
					bears the subtitle a poem by algorithm, an
					attentive reader can deduce the function of that implied code. One can
					infer that it makes use of a template similar to the following: 
				
					 A NATION OF <NOUN> <PREPOSITION>
						<VERB> ANY MEANS NECESSARY TO REFUSE ERASURE BY ALGORITHM
					
				
				

				 Bertram notes that some of the words in this poem come from Gwendolyn Brooks
						sermon on the warpland. In addition, the
					cinquain template and the lists that supply words into its frame is based
					on A HOUSE OF DUST by Alison Knowles and James
					Tenney. And yet, even though this poem is oriented by these two
					contingencies, it is still Bertram's voice and vision that assembles these
					words into ideas and their meanings. The lineage that informs this poem is
					an important part of its meaning, and the software that creates the text is
					not mere technology but an ideologically-committed framework that operates
					on legacies of systemic racism: algorithms that erase; specific chains. 

				Critical Code Studies is a practical method of inquiry that applies literary
					and critical hermeneutics to computer code. In many cases, as in reading
					the source code of an application or a webpage, one may be tempted to read
					computational media and programmed objects as inherently dual -- a legible,
					playable, visible surface and the normally invisible code that directs the
					machine to create that surface. Mark Marino and others have disrupted the
					neat division of surfaces and the depths they obscure by turning a
					critical, hermeneutial lens onto code as yet another textual surface where
					meaning is inscribed and can be interpreted. As Marino discusses at length,
					this proposition is not necessarily intuitive, nor is it without its
					critics.  Code, after all, must be read both to
					the software that compiles it and the human that shares it, but clearly
					these are two different meanings of "reading." Once a compiler transforms
					the text of a computer script into actionable assembly code, the idiomatic
					vaguaries of idiosyncratic, human reading can have no effect on the
					executation of that process. This gap between what a human means and what a
					computer understands is the challenge that novice programmers learn to
					struggle against: just because a line of code makes sense to me does not
					mean that the computer will do with it what I think it will.

				Because so many areas of our world impacted by or accessed through programmed
					interfaces, opportunities abound for interpretations of code to bring
					critical attention to latent power dynamics and cultural assumptions.
					Because of this, much of the published work following a critical code
					studies orientation reads code in spite of what it does. For instance, Mark
					Sample discussing how offensive mysoginistic language discovered in a debug
					file for the videogame Dead Island reveals
					mysoginistic assumptions baked into the games design ; Winnie Soon and Eric Snodgrass disentangling
					the social and political relations implied by the design of application
					programming interfaces (APIs) ; Outi
					Laiti explaining how programming languages based on languages other than
					English helps to foreground and critique the hegemony of English within
					computing culture. 

				In examples of poetry generated by code, poetry written as code, and code
					that generates poetry, it is less useful to think of a tension between the
					code as text and the code as preamble to its processes and more productive
					to consider the imbrication of those surfaces. John Cayley's influential
					essay, The code is not the Text (unless it is the
						text)
					 disentangles two incommensurable ways of
					understanding language. As Cayley insists in a later essay reviewing Nick
					Montfort's book of computer poetry, #!, a potential for human reading...is required to produce
						an event of language
					. And for works where the code is finite and
					legible but what the code generates is practically or literally infinite
					(or infinitesimally brief), the code must be the poem; that is
					the only option. Herein lies the counterintuitive aporia for critical code
					studies when code poetry is the object of critique: whereas a close reading
					of a videogame's source code offers a peak behind the curtain, reading a
					poem's source code requires a more subtle recalibration of hermeneutic
					attention. Either way, as Marino observes, Regardless
						of where one sees the poetry, the procedure or the possibility, both
						exist, in hibernation or as seeds, in the code.
					

				For poet Lillian-Yvonne Bertram, those seeds of possible meaning saturate all
					available surfaces, and whereas code poetry of the sort practiced by
					Montfort and Cayley can be esoteric and conceptual, the ideas in Bertram's
					poems are familiar, situated, and ideologically specific. In other words,
					Bertram's poems in Travesty Generator are
					already doing for digital poetry what critical code studies seeks for
					everyday systems and software when that software is bound up with regimes
					of oppression. My goal in this essay is to explore how Lillian-Yvonne
					Bertram uses code in their poetry to perform that critique, specifically by
					bearing witness to the pain and violence inflicted on Black Americans. 

				In writing about the way Bertram's poems address these topics with
					specificity and familiarity, I am aware that I approach this with the
					benefit of several privileges: I am a white, able-bodied, cis-gendered man.
					I am a tenured faculty member. These privileges necessarily mean that the
					experiences remembered in some of these poems -- some of which are
					traumatic -- will carry deeper and more personal meanings to those still
					oppressed and disproportionately harmed by police violence. Bertram, who
					identifies as biracial African-American, does not need my interpretation of
					their work for that work to be haunting, resonant, and beautiful, and the
					recognition this work has received indicates how well it speaks for itself.
					In this essay, I hope to use my voice and privilege to bring attention
					these poems and invite others to appreciate their nuances, complexities,
					and their lineage within digital poetics.


			

				
				 Computer code executed in the memory of a machine is characterized by its
					speed, ephemerality, and volatility, and digital poetry involving
					combinatorics can easily create a scenario such that any individual poem
					has a vanishingly small probability of existing. Thus, a poet’s decision to
					inscribe the output of a computer program into the pages of a book is an
					act of curation as much as composition. To select one result among many, or
					to capture a system at the point of its failing to continue, are as
					essential to digital poetics as are the tasks of defining a frame and
					creating the database of language to fit into that frame. This
					characterization of digital poetry consisting of a frame is a
					formulation Carole Spearin McCauley defined in her 1974 book Computers and Creativity
					, and it still illuminates contemporary
					digital poetry. Although poets may innovate in the types of frames to
					create and in the complexity of dictionaries to mine for language, the
					agenda of contemporary digital poetry is diminished if its meaning is
					circumscribed by mere novelty. 
				 Lillian-Yvone Bertram’s book of poetry, Travesty
						Generator, is among the most salient and compelling recent
					works of digital poetry because its poems address the contemporary
					realities of racism through the situated specificity of a computer
					generating poetry and the material specificity of print. In this essay, I
					offer close readings of several poems from this award-winning collection
						 to emphasize Bertram’s contribution to
					digital poetics and explicate the ways in which their poems operate in, on
					and against other systems of code and code poetry. 
				 The book bears the title Travesty Generator in
					reference to Hugh Kenner and Joseph O'Rourke's Pascal program designed to 
						fabricate
							pseudo-text
						
					 by printing out language such that each n-length string of
					characters in the output occurs at the same frequency as it does in the
					source text. According to its writers, by combining different authors
					through this algorithm, one might stumble across a travesty of haunting plausibility wherein James Joyce's
					writing becomes muddled with Henry James's.  The
					pseudo-text's nonsensibility is simultaneously its act of transgression and
					its literary horizon, but for Kenner and O'Rourke’s program and its many
					progeny, those possibilities extend no farther than a novelty, a formal
					curiosity or at best an insight into a specific author's writing style. 
				 When Charles O. Hartman uses Travesty in his Virtual
						Muse, he finds that the nonsense it generates helps Hartman's
					composition process by disrupting the habits he found himself following as
					a writer. Of the generator itself, Hartman noted with some awe that here is language creating itself out of nothing, out of
						mere statistical noise
					. 
				 Bertram’s title invokes the legacy of this program in the history of
					electronic literature, but more importantly, the name, travesty
						generator, invokes other resonances that raise the stakes
					in computer-generated poetry. Whereas for Kenner and O'Rourke, labeling
					their work a travesty is a hyperbolic tease, a
					literary burlesque, for Bertram, the word is invigorated with its political
					reality. In 2013, attorney Don West, responding to the not guilty verdict
					for his client George Zimmerman in the shooting death of Trayvon Martin,
					congratulated the jury for keeping 
						this tragedy from
							becoming a travesty
						
					. West is implying that the media attention on the case risked
					creating what he and Zimmerman would have called a farcical miscarriage of
					justice. 
			

				Counternarratives
				 For others, perhaps most observers, the event was always a travesty: a 
						grotesque parody or
							imitation
						
					 of criminal justice enacted by a civilian playing at being a law
					enforcement officer that resulted in the extra judicial killing of an
					unarmed high-school student. 
				 Central to any response to that verdict is how one understands the narrative
					of events on February 26, 2012, and this is the question Bertam takes up in
					their poem Counternarratives which presents
					sentences, fragments, and ellipses beginning ambiguously but gradually
					hinting at a series of specific implications and images. These narratives
					are counter for several reasons, most importantly for
					the fact that they include Martin's point of view. Each stanza presents
					several sentences or fragments separated by ellipses, and with each page
					more of these phrases accumulate to present a gradually more complete image
					of what happened on February 26, 2012. 
				
						[4] … He never told anyone, but he always wanted
							to go to space camp. [5] … He rides from station to station
							until he can rest at home. [6] … Sometimes he wakes feeling
							gone and doesn't know why.
						
					
				
				 The poem includes these sentences with others in 14 successive stanzas, each
					printed on its own face of a page, each growing in size until the blank
					13th stanza breaks the pattern of expansion. One can see the inertia of
					automation and the inevitability of processes at work in the consistency of
					this pattern and in the way the poem intersects other perspectives that
					include the algorithmic prompts of search engines (e.g. People also ask: what really happened?) and the
					horticultural (e.g. Only the flowering catalpa trees
						are on watch) -- all echoes of the machinic generator in the book's title. But because this
