Title:  Fingerprints of British Book History: A Feminist Labor History of EEBO
Volume:  018
Issue:  1
Date:  27 February, 2024
Abstract:  
				In this essay, I give a labor history of the commonly used database Early English Books Online. EEBO began its
					life as a mirofilm archive produced beginning in 1940: a massive book-copying project was undertaken during World
					War II to protect rare books from German bombs. These reproductions were made largely by unnamed woman archivists
					and led by a team of woman photographers, academics, and secretaries. In this essay, I draw on existing theories
					and histories of EEBO while highlighting these women's work, which manifests in the photographs through the shadows
					of the fingertips they used to pin down the fragile books. This archive of reproductive labor exemplifies the
					artificial divide between auteur and stenographer, artist and secretary, that animated many of the early twentieth
					century’s avant-garde movements, including ones in which EEBO photographers were intimately involved. The fingers
					represent the custodial labor of women working across artistic and administrative modes during World War II and the
					decades that followed. 
			
Full Body Text: 

				
				Upon its founding in 2002, Google Books promised its users the world . Imagine, wrote then-CEO Eric Schmitt, the
						cultural impact of putting tens of millions of previously inaccessible volumes into one vast index, every wor)d
						of which is searchable by anyone, rich and poor, urban and rural, First World and Third, en toute langue — and all, of course, entirely for free
					. Nearly twenty years later, the service has indeed become a ubiquitous online
					resource, one with a mixed reputation among digital humanists , , . Its errors — evidence of imperfect human mediation — are also commonplace. In
					2011, artist and writer Krissy Wilson began collecting these errors on her blog The Art of
						Google Books. Wilson’s archive, which includes submissions from readers, catalogues the ephemeral flaws
					made before and during the copying process: a forgotten library slip with check-out dates spanning thirty years; a
					blurred page, photographed as it is turned; rips in the paper; ink stains. However, the most common and most
					eloquent error captured by The Art of Google Books concerns the trace of human labor
					in the archive’s production. Google’s scanning cameras often capture the fingers and hands of the low-wage workers
					who hold open each book. They often wear pink or blue finger rubbers, minimizing the wear and tear book-handling
					exerts on the skin. The images largely depict Black and brown hands, suggesting the demographics of this low-paid
					work (Figure 1). The bad scans capture the process of unspectacular labor as it
					occurs. In consequence, they are an artful and poignant visible record of the work that digital humanists have
					recently sought to recover , 
				
					 This worker’s hand obscures the book plate and check-out slip for Edward Young’s The
							Complaint; or, Night-thoughts on Life, Death, and Immortality (1750). The original is held by Oxford
						University and was digitized by an anonymous worker on August 2, 2007.
					
					A composite of two hands each holding a book flat
				
				The Art of Google Books demonstrates the continuity between contemporary digitization
					practices and a longer history of archival touch. Scholars have examined the abuses of Google’s digital practices
					and their implications for both archival labor and intellectual property , , . In this essay, I extend this work to trace a cultural
					history of the photographed finger. I do so through a focus on the labor history embedded in one literary database:
					Early English Books Online (EEBO). Several critics have catalogued the palimpsestic nature of this digital archive,
					which reveals the circumstances in which the database was produced, beginning during the crucible of World War II,
					in an international scramble to photograph every extant early modern book as the threat of German occupation
					increased , , , . Less known are the experiences of the photographers and librarians who created the
					archive. Teams of women in the backrooms of universities and museums made thousands of microfilm reels during the
					war and continuing afterward. The evidence of their labor is anything but invisible. The images they created
					include stunning and mundane traces of their work, cluttering the lower margins of manuscript pages, their
					fingertips a silent motif that persists into the Google Books era (Figure 2).
				
					The first page of a 1595 copy of Sir Philip Sidney’s The Defence of Poesie has
						been photographed with the fingers of the photographer visible in the lower corners of each page. © British
						Library Board. STC 2nd edition 22535 reel 904:16. Images published with permission of ProQuest. Further
						reproduction is prohibited without permission. Images produced by ProQuest as part of Early Modern Books. www.proquest.com.
					
					A black and white scan of a page with fingers visible
				
				This essay centers EEBO’s photographed fingertips as interventions in the archive, analyzing not only their
					historical significance but also the conceptual import of their visual mark on images of the English literary
					canon. Reading EEBO’s fingers focalizes the digital object as distinct from print, and acknowledges the feminized
					labor needed to produce it. This reading practice also activates a centuries-long material and conceptual history
					of interaction between hand and page, one that spans a series of technological evolutions. EEBO and its fingers
					mark the transition from analog to digital, through the intimate technology of the digit — the index finger. This
					archive of reproductive labor exemplifies the artificial divide between auteur and stenographer, artist and
					secretary, that animated many of the early twentieth century’s avant-garde movements, including ones in which EEBO,
					then called Early English Books (EEB), photographers were intimately involved. In what follows, I chronicle the
					women who lived this divide, including secretary Margaret Harwick, librarian-spy Adele Kibre, and Bauhaus
					photographer Lucia Moholy, whose work in both microfilm and avant-garde photography theorized the invisible hand of the artist-as-reproducer. The largely untold stories of these artists throw into relief the self-hagiography of the archive’s
					presumed architect, Eugene Power. Read in this context, the signature contribution of the EEB images is that they
					render reproductive labor literally visible, in the form of a fingernail imprinted at the edge of a textual
					artifact. The fingers represent the custodial labor of women working across artistic and administrative modes
					during World War II and the decades that followed. At the same time, they render visible the text’s transition into
					a new form of commodity, repackaged for new sites of purchase and distribution, their specific visual arrangement
					testifying to the text’s valuation and evaluation at a key moment in literary history.
			

				A Note on Methodology: Piercing the Digital Veil
				Studying the production history of EEBO places my work in conversation with a growing tradition of feminist
					digital humanists. Integrating feminist practices into the digital humanities has required its practitioners to, as
						Catherine D’Ignazio and Lauren Klein write, show [their] work. Their book, Data Feminism 2020, argues that digital spaces depend on invisible labor forces. In fact, invisible labor has become a central formulation in digital studies. The
					predicament is a feminist one, Klein writes elsewhere, because women have traditionally been tasked
					with myriad forms of uncredited work, from cleaning and child-rearing to editing, typesetting, data entry, and
					archive maintenance . An important example of this shift is recent scholarship on digital
					humanities pioneers like Josephine Miles, who invented a form of quantitative reading while teaching
					at UC Berkeley in the 1950s , . Julianne
						Nyhan has illuminated the work of the 65 keypunch operators, many of them woman, who worked with
						Roberto Busa, the so-called father of the digital humanities . Still more
					scholars have traced extensive histories of digitized archives of newspapers , , , , . We can also draw inspiration from the emerging field of production studies,
					begun in film and media studies and now borrowed by many feminist digital humanists. Production studies attends to
					the quotidian and collective labor of making art. The field, Miranda Banks writes, is profoundly
						anti-auterist, deflating the cults of personality that often
